카테고리,제품코드,제품명,이미지
절연전선,500928,600V비닐절연전선,https://www.kpi.or.kr/uploads/goods_img/01_600VPolyvinylChlorideInsulatedWire4s.jpg
절연전선,500929,600V2종비닐절연전선,https://www.kpi.or.kr/uploads/goods_img/01_600VHeatResistantPolyvinylChlorideInsulatedWire5s.jpg
절연전선,500930,인입용비닐절연전선,https://www.kpi.or.kr/uploads/goods_img/01_PolyvinylChlorideInsulatedServiceDropWire6s.jpg
절연전선,500931,옥외용비닐절연전선,https://www.kpi.or.kr/uploads/goods_img/01_OutDoorWeatherProofPolyvinylChlorideInsulatedWire7s.jpg
절연전선,500932,접지용전선,https://www.kpi.or.kr/uploads/goods_img/01_PolyvinylChlorideInsulatedWireforGroundingUse8s.jpg
절연전선,500933,전기기기용비닐절연전선,https://www.kpi.or.kr/uploads/goods_img/01_KIV9s.jpg
절연전선,500934,600V비닐캡타이어케이블,https://www.kpi.or.kr/uploads/goods_img/01_VCT10s.jpg
절연전선,500935,600V비닐절연비닐시이스케이블,https://www.kpi.or.kr/uploads/goods_img/01_VV11s.jpg
절연전선,500936,제어용비닐절연비닐시이스케이블,https://www.kpi.or.kr/uploads/goods_img/01_CVV12s.jpg
절연전선,501333,자동차용저압전선,https://www.kpi.or.kr/uploads/goods_img/01_LowVoltageCablesforAutomobile90s.jpg
전력케이블,500937,엘리베이터케이블,https://www.kpi.or.kr/uploads/goods_img/04_ElevatorCable13s.jpg
전력케이블,500938,600V고무절연캡타이어케이블,https://www.kpi.or.kr/uploads/goods_img/04_600VRubberInsulatedFlexibleCable15s.jpg
전력케이블,500939,용접용케이블,https://www.kpi.or.kr/uploads/goods_img/04_FlexibleCableforWeldingMachines16s.jpg
전력케이블,500940,선박용전선,https://www.kpi.or.kr/uploads/goods_img/04_Shipboadcable17s.jpg
전력케이블,500942,기기용비닐코드,https://www.kpi.or.kr/uploads/goods_img/04_PVCInsulatedFlexubleCord19s.jpg
전력케이블,500943,고무코드,https://www.kpi.or.kr/uploads/goods_img/04_Rubberinsulatedflexiblecords20s.jpg
전력케이블,501337,컴퓨터용케이블,https://www.kpi.or.kr/uploads/goods_img/04_18s.jpg
제어용케이블,500944,내화전선,https://www.kpi.or.kr/uploads/goods_img/07_FR821s.jpg
제어용케이블,500945,내열전선,https://www.kpi.or.kr/uploads/goods_img/07_FR322s.jpg
소방용케이블,500947,PCM케이블,https://www.kpi.or.kr/uploads/goods_img/13_PCM23s.jpg
소방용케이블,500948,LAN케이블,https://www.kpi.or.kr/uploads/goods_img/13_LocalAreaNetworkCable24s.jpg
소방용케이블,500949,폴리에틸렌절연비닐쉬이즈시내쌍케이블,https://www.kpi.or.kr/uploads/goods_img/13_CPEV25s.jpg
소방용케이블,500950,CATV용고발포동축케이블,https://www.kpi.or.kr/uploads/goods_img/13_CATV26s.jpg
소방용케이블,500951,고주파동축케이블,https://www.kpi.or.kr/uploads/goods_img/13_ECX27s.jpg
소방용케이블,500952,옥내전화선,https://www.kpi.or.kr/uploads/goods_img/13_TIV28s.jpg
소방용케이블,500953,8자형옥외전화선,https://www.kpi.or.kr/uploads/goods_img/13_TOV29s.jpg
소방용케이블,500954,광케이블접속자재(광커넥터),https://www.kpi.or.kr/uploads/goods_img/13_Connector30s.jpg
소방용케이블,500955,광케이블접속자재(광접속함체),https://www.kpi.or.kr/uploads/goods_img/13_Fibersplice31s.jpg
소방용케이블,500956,광케이블접속자재(광감쇠기),https://www.kpi.or.kr/uploads/goods_img/13_Opticalfiber32s.jpg
소방용케이블,500957,비닐절연비닐시스전화용국내케이블,https://www.kpi.or.kr/uploads/goods_img/13_SHcable33s.jpg
소방용케이블,500958,알루미늄도체케이블,https://www.kpi.or.kr/uploads/goods_img/13_Alcable34s.jpg
소방용케이블,501396,광케이블 및 접속자재(반자동광섬유절단기),https://www.kpi.or.kr/uploads/goods_img/13_rxa-8s.jpg
통신용케이블,500959,전기용나동선,https://www.kpi.or.kr/uploads/goods_img/16_AS35s.jpg
통신용케이블,500466,전기용나동선,https://www.kpi.or.kr/uploads/goods_img/16_HS36s.jpg
통신용케이블,501281,부스덕트및부품,https://www.kpi.or.kr/uploads/goods_img/16_BUSTDUCT99s.jpg
통신용케이블,500246,히팅케이블,https://www.kpi.or.kr/uploads/goods_img/16_h-s.jpg
전선원부자재,501409,온도관리재,https://www.kpi.or.kr/uploads/goods_img/21_temperature%20small.jpg
전선원부자재,500288,압착단자,https://www.kpi.or.kr/uploads/goods_img/21_teminal-1s.jpg
전선원부자재,501543,케이블접속보수재,https://www.kpi.or.kr/uploads/goods_img/21_slave%20small.jpg
전선관,501305,2종금속전선관,https://www.kpi.or.kr/uploads/goods_img/24_FlexibleMetalConduits74s.jpg
전선관,500960,강제전선관,https://www.kpi.or.kr/uploads/goods_img/24_RigidSteelConduits73s.jpg
전선관,500961,금속제가요전선관,https://www.kpi.or.kr/uploads/goods_img/24_FlexibleMetalConduits74s.jpg
전선관,501335,몰드,https://www.kpi.or.kr/uploads/goods_img/24_Mold96s.jpg
전선관,501336,광케이블통신관,https://www.kpi.or.kr/uploads/goods_img/24_COD97s.jpg
전선관,501681,슬림형내관,https://www.kpi.or.kr/uploads/goods_img/24_%EC%BC%80%EC%9D%B4%ED%8B%B0%EC%97%94%ED%8B%B0%EB%82%B4%EA%B4%80S.jpg
전선관로재,500965,레이스웨이,https://www.kpi.or.kr/uploads/goods_img/26_RaceWay55s.jpg
전선관로재,500285,풀박스,https://www.kpi.or.kr/uploads/goods_img/26_pullbox-1s.jpg
전선관로재,501684,CABLE TRAY(화재확산 방지를 위한 열발포성 격벽이 장착)(1),https://www.kpi.or.kr/uploads/goods_img/26_%EC%84%B1%EC%8B%A4%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EB%A7%81S.jpg
전력기기,500967,아몰퍼스변압기,https://www.kpi.or.kr/uploads/goods_img/30_AmorphousTransformer54s.jpg
전력기기,500968,무정전전원장치,https://www.kpi.or.kr/uploads/goods_img/30_UniterruptiblePowerSupply56s.jpg
전력기기,500969,단로기,https://www.kpi.or.kr/uploads/goods_img/30_DisconnectionSwitches57s.jpg
전력기기,501329,건식변압기,https://www.kpi.or.kr/uploads/goods_img/30_88s.jpg
전력기기,501330,유도전동기,https://www.kpi.or.kr/uploads/goods_img/30_Motor91s.jpg
전력기기,501331,유도전동기,https://www.kpi.or.kr/uploads/goods_img/30_Motor92s.jpg
전력기기,501332,유입변압기,https://www.kpi.or.kr/uploads/goods_img/30_OilTransformer93s.jpg
전력기기,501378,BCVM-R 프린터,https://www.kpi.or.kr/uploads/goods_img/30_print%201s.jpg
전력기기,501410,가변속전동기,https://www.kpi.or.kr/uploads/goods_img/30_vs%20motor%20small.jpg
전력기기,500402,정류기,https://www.kpi.or.kr/uploads/goods_img/30_LEES.jpg
전력기기,500363,자동역률제어장치,https://www.kpi.or.kr/uploads/goods_img/30_qqjr1s.jpg
전력기기,501604,네온트랜스,https://www.kpi.or.kr/uploads/goods_img/30_neon-1.jpg
배전기기,500971,전자개폐기,https://www.kpi.or.kr/uploads/goods_img/33_ElectromagneticSeitches58s.jpg
배전기기,500972,누전차단기,https://www.kpi.or.kr/uploads/goods_img/33_ResidualCurrentProtectiveDevices60s.jpg
배전기기,501326,가로등용감전보호기,https://www.kpi.or.kr/uploads/goods_img/33_85s.jpg
배전기기,501339,"배선용차단기(NFB,MCCB)",https://www.kpi.or.kr/uploads/goods_img/33_70s.jpg
배전기기,500426,저항기,https://www.kpi.or.kr/uploads/goods_img/33_%EC%8D%A8%EC%A7%80%EC%A0%80%ED%95%AD%EA%B8%B0S.jpg
절연재료,501002,애자,https://www.kpi.or.kr/uploads/goods_img/69_insulator79s.jpg
절연재료,501003,절연재료,https://www.kpi.or.kr/uploads/goods_img/69_InsulatingMaterial80s.jpg
수ㆍ배전반,500977,저항기,https://www.kpi.or.kr/uploads/goods_img/39_Resistance53s.jpg
수ㆍ배전반,500978,주택용분전반,https://www.kpi.or.kr/uploads/goods_img/39_LowVoltagePanelboardsforHouseholdUse71s.jpg
수ㆍ배전반,500979,산업용분전반,https://www.kpi.or.kr/uploads/goods_img/39_72s.jpg
수ㆍ배전반,501673,고효율 가스절연 복합형 배전반 ,https://www.kpi.or.kr/uploads/goods_img/39_S500(%EC%99%B8%ED%98%95%EB%8F%84).jpg
배전제어기기,500980,마이크로스위치,https://www.kpi.or.kr/uploads/goods_img/42_SensitiveSwitches59s.jpg
배전제어기기,500294,리미트스위치,https://www.kpi.or.kr/uploads/goods_img/42_LS3-S.jpg
배전제어기기,500432,디지털집중표시제어장치,https://www.kpi.or.kr/uploads/goods_img/42_ls%EA%B3%84%EC%A0%84%EA%B8%B0(%EC%86%8C).jpg
배전제어기기,501506,계전기(릴레이),https://www.kpi.or.kr/uploads/goods_img/42_relay%201s.jpg
계전기기,501625,자동제어시스템,https://www.kpi.or.kr/uploads/goods_img/48_1%60.jpg
접지ㆍ피뢰자재,500303,접지저감재,https://www.kpi.or.kr/uploads/goods_img/51_jjs.jpg
접지ㆍ피뢰자재,500296,피뢰침,https://www.kpi.or.kr/uploads/goods_img/51_p1s.jpg
접지ㆍ피뢰자재,500441,접지자재ㆍ피뢰자재,https://www.kpi.or.kr/uploads/goods_img/51_%EC%84%9C%EC%A7%80%EB%B3%B4%ED%98%B8%EA%B8%B0S.jpg
접지ㆍ피뢰자재,501695,서지카운트분전반,https://www.kpi.or.kr/uploads/goods_img/51_%EC%9E%90%EB%8F%99%EB%B3%B5%EA%B7%80%EA%B8%B0%EB%8A%A5%EB%82%B4%EC%9E%A5%ED%98%95%EC%84%9C%EC%A7%80%EC%B9%B4%EC%9A%B4%ED%84%B0%EB%B6%84%EC%A0%84%EB%B0%981S.jpg
배선기구,500982,소켓,https://www.kpi.or.kr/uploads/goods_img/54_EdisonScrewLampholders62s.jpg
배선기구,500983,퓨즈 ,https://www.kpi.or.kr/uploads/goods_img/54_Fuse63s.jpg
배선기구,500985,콘센트,https://www.kpi.or.kr/uploads/goods_img/54_Concent65s.jpg
배선기구,500987,커버나이프스위치,https://www.kpi.or.kr/uploads/goods_img/54_KnifeSwitcheswithCover67s.jpg
배선기구,500989,플러시플레이트,https://www.kpi.or.kr/uploads/goods_img/54_FlushPlates69s.jpg
배선기구,501828,타임스위치,https://www.kpi.or.kr/uploads/goods_img/%ED%83%80%EC%9E%84%EC%8A%A4%EC%9C%84%EC%B9%98.JPG
조명기구,500399,투광기,https://www.kpi.or.kr/uploads/goods_img/57_1s.jpg
조명기구,501653,형광등기구,https://www.kpi.or.kr/uploads/goods_img/57_ft-322S.jpg
조명기구,501827,자연형집광채광시스템,https://www.kpi.or.kr/uploads/goods_img/%EC%9E%90%EC%97%B0%ED%98%95%EC%A7%91%EA%B4%91%EC%B1%84%EA%B4%91%EC%8B%9C%EC%8A%A4%ED%85%9C.JPG
조명기구,500295,원격조명릴	,https://www.kpi.or.kr/uploads/goods_img/57_reel1s.jpg
조명기구,501826,자동승강조명장치,https://www.kpi.or.kr/uploads/goods_img/%EC%9E%90%EB%8F%99%EC%8A%B9%EA%B0%95%EC%A1%B0%EB%AA%85%EC%9E%A5%EC%B9%98.JPG
조명기구,501797,몰드바,https://www.kpi.or.kr/uploads/goods_img/%EB%AA%B0%EB%93%9C%EB%B0%94.JPG
전등,500993,형광등,https://www.kpi.or.kr/uploads/goods_img/60_FluorescentLamp43s.jpg
전등,500996,나트륨등,https://www.kpi.or.kr/uploads/goods_img/60_SodiumVapourLamps46s.jpg
전등,501334,형광등,https://www.kpi.or.kr/uploads/goods_img/60_SelfBallastedLamps94s.jpg
전등,501794,메탈하라이드등,https://www.kpi.or.kr/uploads/goods_img/%EB%A9%94%ED%83%88%ED%95%98%EB%9D%BC%EC%9D%B4%EB%93%9C%EB%93%B1.JPG
전등,501790,비상등,https://www.kpi.or.kr/uploads/goods_img/%EB%B9%84%EC%83%81%EB%93%B1.JPG
전등,501795,재실감지센서,https://www.kpi.or.kr/uploads/goods_img/%EC%9E%AC%EC%8B%A4%EA%B0%90%EC%A7%80%EC%84%BC%EC%84%9C.JPG
전등,501789,항공등화,https://www.kpi.or.kr/uploads/goods_img/%ED%95%AD%EA%B3%B5%EB%93%B1%ED%99%94.JPG
전등,501791,LED 전구,https://www.kpi.or.kr/uploads/goods_img/LED%20%EC%A0%84%EA%B5%AC.JPG
전등,501792,LED 형광등,https://www.kpi.or.kr/uploads/goods_img/LED%20%ED%98%95%EA%B4%91%EB%93%B1.JPG
안정기,500997,나트륨등안정기,https://www.kpi.or.kr/uploads/goods_img/63_BallastforSodiumLamps47s.jpg
