ID,발생일시,사고인지 시간,날씨,기온,습도,공사종류,연면적,층 정보,인적사고,물적사고,공종,사고객체,작업프로세스,장소,부위,사고원인,재발방지대책 및 향후조치계획
TRAIN_00000,2023-12-31 오후 12:44,정규작업 -,맑음,1℃,30%,건축 / 건축물 / 근린생활시설,"4,892.77㎡","지상 14층, 지하 3층",떨어짐(5미터 이상 ~ 10미터 미만),없음,건축 > 철근콘크리트공사,건설자재 > 철근,설치작업,근린생활시설 / 내부,철근 / 고소,"고소작업 중 추락 위험이 있음에도 불구하고, 안전난간대, 안전고리 착용 등 안전장치가 미흡하였음.",고소작업 시 추락 위험이 있는 부위에 안전장비 설치.
TRAIN_00001,2023-12-30 오후 03:35,정규작업 -,맑음,10℃,90%,토목 / 터널 / 철도터널,-,-,끼임,없음,토목 > 터널공사,건설자재 > 볼트,운반작업,철도터널 / 내부,볼트 / 바닥,부주의,재발 방지 대책 마련과 안전교육 실시.
TRAIN_00002,2023-12-30 오후 02:30,정규작업 -,맑음,14℃,70%,건축 / 건축물 / 업무시설,"1,994.62㎡","지상 5층, 지하 0층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,기타 > 기타,형틀 및 목공,업무시설 / 내부,기타 / 바닥,3층 슬라브 작업시 이동중  미끄러짐,현장자재 정리와 안전관리 철저를 통한 재발 방지 대책 및 공문 발송을 통한 향후 조치 계획.
TRAIN_00003,2023-12-30 오후 12:00,휴일근무 -,흐림,12℃,55%,토목 / 하천 / 기타,-,-,기타,전도,토목 > 하천공사,부재 > 교각 기초,조립작업,기타 / 동산교 신축구간,교각 기초 / 바닥,"교각 기초철근 조립 중 강한 바람에 의해 기둥측 주철근이 균형을 잃고 전도되어, 하부에서 작업 중이던 철근공 2명이 철근에 부딪힌 사고","위험성 평가 및 교육을 통해 작업장 내 위험요인과 안전수칙을 근로자에게 전파하고, 근로자 안전교육을 강화하며, 본 사고와 관련된 유사 피해 발생 방지를 위한 안전교육을 실시할 계획."
TRAIN_00004,2023-12-30 오전 10:00,정규작업 -,맑음,0℃,10%,건축 / 건축물 / 공동주택,"59,388.93㎡","지상 27층, 지하 3층",넘어짐(미끄러짐),없음,건축 > 해체 및 철거공사,기타 > 건설폐기물,해체작업,공동주택 / 내부,건설폐기물 / 바닥,근로자의 부주의,자재 정리 작업 시 세부 작업 방법에 대한 교육 실시와 작업 구간 이동 경로 점검 후 장애물 사전 정리 작업 실시.
TRAIN_00005,2023-12-30 오전 10:00,정규작업 -,강설,1℃,92%,건축 / 건축물 / 근린생활시설,"9,994.63㎡","지상 12층, 지하 3층",물체에 맞음,없음,건축 > 타일 및 돌공사,건설자재 > 자재,운반작업,근린생활시설 / 외부,자재 / 바닥,일정 거리를 두고 떨어져 있었지만 튕겨서 방향이 바뀔 것을 예상하고 좀 더 거리를 두었어야함,"인근 작업장의 윈치양중 사고 강조 및 안전교육, 윈치양중 작업 최소화와 가능한 CAR작업 진행을 포함한 유사사고 재발 방지 대책 제출."
TRAIN_00006,2023-12-30 오전 09:30,정규작업 -,맑음,-4℃,60%,건축 / 건축물 / 교육연구시설,"6,056.20㎡","지상 1층, 지하 15층",끼임,없음,건축 > 철골공사,건설자재 > 자재,설치작업,교육연구시설 / 외부,자재 / 고소,"철골보와 기둥철판 사이 틈새를 고정하는 공구를 빠지지 않도록 하는 안전장치가 미비아여 , 공구가 빠지면서 손가락 협착 발생",관련 공종 전 작업자 유해위험사항 재교육과 시공사 및 감리자 행정지도 실시
TRAIN_00007,2023-12-30 오전 09:00,정규작업 -,맑음,0℃,50%,건축 / 건축물 / 교육연구시설,"3,267.23㎡","지상 3층, 지하 0층",떨어짐(2미터 이상 ~ 3미터 미만),없음,건축 > 금속공사,가시설 > 시스템동바리,마감작업,교육연구시설 / 외부,시스템동바리 / 계단,비계계단에서 이동중 근로자 부주의로 인해 발을 헛디뎌 떨어짐,"안전교육, 현장 내 관리감독 철저, 개인보호구 착용상태 관리 철저."
TRAIN_00008,2023-12-30 오전 08:30,정규작업 -,강우,4℃,76%,건축 / 건축물 / 공동주택,"63,349.78㎡","지상 49층, 지하 7층",끼임,없음,건축 > 철근콘크리트공사,가시설 > 거푸집,해체작업,공동주택 / 내부,거푸집 / 바닥,고소작업대 운전원과 동승자(재해자) 사이 소통 미흡,TBM을 통한 재해사례 전파 및 지속적인 교육 실시와 안전교육 지도를 포함한 향후 조치 계획.
TRAIN_00009,2023-12-29 오후 10:00,연장근무 -,흐림,1℃,80%,조경 / 공원,-,-,떨어짐(10미터 이상),없음,토목 > 해체 및 철거공사,부재 > 개구부,절단작업,/ 외부,개구부 / 지하2층 개구부에서 추락,기존 CIP 절단 작업 중 와이어쏘 날이 끊어져 재해자가 작업 CIP 뒤쪽으로 와이어 확인 및 교체작업 중 개구부로 추락,"공사현장 안전줄 설치 및 안전벨트 착용, 개구부 추락방지망 및 난간대 설치, 안전관리 교육의 이행."
