emp_id,gender,age,location,domicile_distance_km,transport_mode,day_of_week,is_holiday,entry_time,scheduled_time,lateness_min,lateness_label
E0164,M,23,PJOP_SURABAYA,8.1,Private_Vehicle,Monday,No,08:04,08:00,4,On_Time
E0174,M,49,ADMIN,1.9,Private_Vehicle,Tuesday,No,07:58,08:00,-1,On_Time
E0130,M,34,RND_CENTER,13.2,Bike,Friday,No,08:06,08:00,6,Late
E0072,M,32,HR_TEAM,10.9,Private_Vehicle,Tuesday,No,08:15,08:00,15,Late
E0196,F,28,ADMIN,12.0,Walking,Wednesday,No,07:57,08:00,-2,On_Time
E0155,F,24,HR_TEAM,16.6,Bike,Monday,No,07:57,08:00,-2,On_Time
E0142,F,45,RND_CENTER,6.6,Public_Transport,Monday,No,08:15,08:00,15,Late
E0170,M,40,ADMIN,25.8,Public_Transport,Thursday,No,08:07,08:00,7,Late
E0072,F,45,ICT_PROJECT,11.7,Private_Vehicle,Wednesday,No,07:55,08:00,-4,On_Time
E0180,M,32,RND_CENTER,22.1,Private_Vehicle,Thursday,No,08:05,08:00,5,On_Time
E0098,F,36,PJOP_SURABAYA,25.4,Public_Transport,Tuesday,No,07:55,08:00,-4,On_Time
E0009,F,47,PJOP_SURABAYA,2.9,Walking,Tuesday,No,07:55,08:00,-4,On_Time
E0168,F,47,HR_TEAM,5.1,Private_Vehicle,Tuesday,No,08:02,08:00,2,On_Time
E0191,F,49,RND_CENTER,12.6,Private_Vehicle,Tuesday,No,07:40,08:00,-19,On_Time
E0131,F,27,ADMIN,26.0,Private_Vehicle,Tuesday,No,07:42,08:00,-17,On_Time
E0175,F,26,HR_TEAM,12.1,Bike,Friday,No,07:54,08:00,-5,On_Time
E0065,M,29,RND_CENTER,22.8,Walking,Monday,No,07:49,08:00,-10,On_Time
E0076,F,32,HR_TEAM,1.1,Walking,Friday,No,08:03,08:00,3,On_Time
E0196,M,54,ADMIN,26.2,Walking,Friday,No,07:50,08:00,-9,On_Time
E0156,M,31,PJOP_SURABAYA,23.1,Public_Transport,Friday,No,07:45,08:00,-14,On_Time
E0083,F,23,ADMIN,27.9,Walking,Tuesday,No,08:14,08:00,14,Late
E0015,M,27,ADMIN,22.2,Public_Transport,Friday,No,07:57,08:00,-2,On_Time
E0197,M,30,HR_TEAM,28.5,Private_Vehicle,Wednesday,No,08:00,08:00,0,On_Time
E0136,F,35,RND_CENTER,22.9,Private_Vehicle,Wednesday,No,07:45,08:00,-14,On_Time
E0103,F,50,RND_CENTER,14.1,Private_Vehicle,Tuesday,No,07:54,08:00,-5,On_Time
E0017,F,23,RND_CENTER,17.1,Private_Vehicle,Monday,No,08:01,08:00,1,On_Time
E0019,M,36,ADMIN,27.3,Walking,Monday,No,07:48,08:00,-11,On_Time
E0132,M,39,HR_TEAM,7.2,Private_Vehicle,Friday,No,08:03,08:00,3,On_Time
E0148,F,37,HR_TEAM,24.4,Private_Vehicle,Monday,No,07:53,08:00,-6,On_Time
E0025,F,44,HR_TEAM,12.9,Public_Transport,Monday,No,07:57,08:00,-2,On_Time
E0016,F,43,ADMIN,8.2,Private_Vehicle,Friday,No,07:53,08:00,-6,On_Time
E0115,M,49,ICT_PROJECT,9.1,Private_Vehicle,Monday,No,08:18,08:00,18,Late
E0114,M,25,RND_CENTER,25.2,Public_Transport,Tuesday,No,07:59,08:00,0,On_Time
E0043,F,53,HR_TEAM,7.2,Bike,Monday,No,07:49,08:00,-10,On_Time
E0043,F,22,HR_TEAM,8.7,Bike,Wednesday,No,08:08,08:00,8,Late
E0109,F,31,ICT_PROJECT,9.6,Public_Transport,Friday,No,07:47,08:00,-12,On_Time
E0189,M,42,ADMIN,2.5,Bike,Friday,No,08:02,08:00,2,On_Time
E0136,M,25,RND_CENTER,3.3,Private_Vehicle,Monday,No,07:40,08:00,-19,On_Time
E0153,M,37,HR_TEAM,4.5,Private_Vehicle,Friday,No,07:46,08:00,-13,On_Time
E0153,M,27,HR_TEAM,20.1,Walking,Wednesday,No,08:01,08:00,1,On_Time
E0053,F,37,PJOP_SURABAYA,12.5,Walking,Thursday,No,08:07,08:00,7,Late
E0081,M,22,HR_TEAM,19.0,Public_Transport,Monday,No,08:01,08:00,1,On_Time
E0138,M,54,PJOP_SURABAYA,4.8,Walking,Monday,No,07:58,08:00,-1,On_Time
E0063,F,40,ICT_PROJECT,13.7,Walking,Friday,No,07:56,08:00,-3,On_Time
E0168,M,41,ADMIN,28.2,Private_Vehicle,Wednesday,No,07:45,08:00,-14,On_Time
E0030,M,31,PJOP_SURABAYA,9.2,Private_Vehicle,Wednesday,No,07:52,08:00,-7,On_Time
E0053,F,54,HR_TEAM,8.3,Public_Transport,Monday,No,07:55,08:00,-4,On_Time
E0163,F,39,ADMIN,1.1,Private_Vehicle,Wednesday,No,08:10,08:00,10,Late
E0042,F,49,RND_CENTER,1.3,Public_Transport,Tuesday,No,08:03,08:00,3,On_Time
E0140,M,45,RND_CENTER,17.0,Bike,Tuesday,No,07:42,08:00,-17,On_Time
E0011,F,45,ADMIN,27.1,Private_Vehicle,Tuesday,No,08:03,08:00,3,On_Time
E0171,M,44,RND_CENTER,26.6,Bike,Friday,No,07:56,08:00,-3,On_Time
E0192,M,37,ICT_PROJECT,29.3,Private_Vehicle,Thursday,No,07:53,08:00,-6,On_Time
E0007,M,43,HR_TEAM,24.3,Private_Vehicle,Wednesday,No,08:06,08:00,6,Late
E0041,M,46,ADMIN,25.9,Private_Vehicle,Tuesday,No,08:10,08:00,10,Late
E0118,F,41,ICT_PROJECT,7.5,Private_Vehicle,Thursday,No,08:09,08:00,9,Late
E0085,F,26,PJOP_SURABAYA,11.2,Bike,Friday,No,07:51,08:00,-8,On_Time
E0085,M,29,PJOP_SURABAYA,6.2,Walking,Monday,No,07:56,08:00,-3,On_Time
E0028,F,44,PJOP_SURABAYA,13.7,Public_Transport,Thursday,No,08:03,08:00,3,On_Time
E0148,M,38,ADMIN,21.6,Public_Transport,Friday,No,08:09,08:00,9,Late
E0138,M,45,HR_TEAM,3.0,Walking,Friday,No,07:55,08:00,-4,On_Time
E0081,M,41,RND_CENTER,10.0,Bike,Wednesday,No,07:58,08:00,-1,On_Time
E0104,F,30,ICT_PROJECT,13.2,Bike,Tuesday,No,07:48,08:00,-11,On_Time
E0158,F,47,RND_CENTER,25.2,Walking,Wednesday,No,07:48,08:00,-11,On_Time
E0054,F,42,HR_TEAM,13.8,Private_Vehicle,Friday,No,08:08,08:00,8,Late
